Date,Close/Last,Open,High,Low
12/18/2024,3070.64,3165.95,3176.45,3068.52
12/17/2024,3166.41,3165.54,3169.69,3157.49
12/16/2024,3179.30,3175.01,3184.66,3170.82
12/13/2024,3166.97,3176.59,3181.39,3158.29
12/12/2024,3165.87,3176.72,3180.50,3165.81
12/11/2024,3183.01,3173.84,3187.97,3173.02
12/10/2024,3157.54,3173.77,3175.69,3154.88
12/09/2024,3171.24,3190.02,3192.47,3169.25
12/06/2024,3194.29,3190.14,3198.58,3189.17
12/05/2024,3185.14,3192.27,3196.13,3184.08
12/04/2024,3191.02,3178.16,3192.51,3177.41
12/03/2024,3168.55,3164.49,3169.43,3159.16
12/02/2024,3165.68,3161.78,3169.13,3160.16
11/29/2024,3157.86,3144.59,3164.31,3143.48
11/27/2024,3139.74,3149.03,3150.64,3131.58
11/26/2024,3152.28,3141.72,3153.93,3138.28
11/25/2024,3135.14,3143.80,3153.59,3123.10
11/22/2024,3126.80,3116.75,3128.61,3113.21
11/21/2024,3113.82,3109.20,3122.09,3081.85
11/20/2024,3094.49,3093.49,3096.41,3064.74
11/19/2024,3093.76,3063.78,3096.50,3060.11
11/18/2024,3079.15,3068.82,3086.84,3064.02
11/15/2024,3066.67,3088.90,3089.83,3057.27
11/14/2024,3108.09,3129.54,3131.97,3104.62
11/13/2024,3126.72,3128.51,3139.96,3118.39
11/12/2024,3125.97,3135.42,3139.01,3113.16
11/11/2024,3134.46,3140.46,3142.98,3126.42
11/08/2024,3129.57,3118.82,3137.86,3118.43
11/07/2024,3116.72,3102.52,3122.10,3102.46
11/06/2024,3092.13,3055.88,3095.61,3055.88
11/05/2024,3014.15,2983.27,3014.39,2983.27
11/04/2024,2976.07,2984.33,2990.56,2968.08
11/01/2024,2984.10,2982.79,3007.48,2981.65
10/31/2024,2971.61,3005.74,3006.23,2970.38
10/30/2024,3028.42,3039.91,3047.03,3025.88
10/29/2024,3040.31,3032.49,3047.41,3023.58
10/28/2024,3035.12,3042.64,3045.00,3034.98
10/25/2024,3027.00,3039.96,3055.80,3022.91
10/24/2024,3028.54,3030.19,3032.24,3015.33
10/23/2024,3020.72,3040.52,3041.41,3002.45
10/22/2024,3049.70,3038.21,3055.89,3034.00
10/21/2024,3051.31,3051.72,3057.96,3035.94
10/18/2024,3056.52,3052.94,3060.22,3047.03
10/17/2024,3043.83,3062.87,3063.02,3043.18
10/16/2024,3043.31,3029.40,3045.36,3024.45
10/15/2024,3028.81,3057.62,3057.92,3023.32
10/14/2024,3052.83,3039.17,3058.63,3038.15
10/11/2024,3029.65,3009.03,3033.11,3008.89
10/10/2024,3010.84,3007.63,3018.53,3002.42
10/09/2024,3016.30,2993.74,3018.71,2989.89
10/08/2024,2993.36,2977.60,2996.66,2973.64
10/07/2024,2963.51,2982.59,2985.43,2959.00
10/04/2024,2991.22,2985.89,2992.17,2966.25
10/03/2024,2963.55,2961.58,2973.30,2951.64
10/02/2024,2968.07,2959.05,2973.17,2948.63
10/01/2024,2966.73,2992.22,2992.62,2952.60
09/30/2024,2996.41,2980.20,2997.70,2966.40
09/27/2024,2984.25,2993.67,2997.03,2978.97
09/26/2024,2989.22,3000.59,3000.60,2976.49
09/25/2024,2977.84,2983.81,2987.73,2972.48
09/24/2024,2982.90,2979.49,2983.89,2964.38
09/23/2024,2975.36,2972.03,2977.92,2967.43
09/20/2024,2966.47,2967.55,2973.16,2951.96
09/19/2024,2972.73,2967.80,2982.75,2958.75
09/18/2024,2921.92,2934.36,2957.84,2920.44
09/17/2024,2930.78,2941.53,2949.69,2920.57
09/16/2024,2930.80,2922.94,2932.36,2916.32
09/13/2024,2927.82,2915.39,2933.28,2914.56
09/12/2024,2913.18,2892.08,2916.03,2881.89
09/11/2024,2892.02,2859.75,2895.22,2814.43
09/10/2024,2860.24,2855.05,2861.52,2831.70
09/09/2024,2846.69,2830.96,2853.05,2827.09
09/06/2024,2812.09,2862.76,2870.06,2808.58
09/05/2024,2861.05,2869.22,2883.01,2849.12
09/04/2024,2869.00,2863.16,2886.43,2860.19
09/03/2024,2874.03,2922.17,2922.17,2861.55
08/30/2024,2936.79,2921.11,2938.23,2902.39
08/29/2024,2907.06,2914.19,2935.90,2903.44
08/28/2024,2906.94,2924.24,2926.12,2890.93
