Date,Close/Last,Open,High,Low
12/13/2024,4350.84,4366.87,4384.81,4346.82
12/12/2024,4388.97,4388.97,4413.22,4371.86
12/11/2024,4412.09,4412.09,4413.87,4380.48
12/10/2024,4406.61,4406.61,4434.69,4406.42
12/09/2024,4440.71,4440.71,4468.78,4433.63
12/06/2024,4432.54,0.00,0.00,0.00
12/05/2024,4432.54,4425.76,4434.40,4408.31
12/04/2024,4411.64,4411.64,4433.83,4397.19
12/03/2024,4403.63,4403.63,4405.43,4380.67
12/02/2024,4367.51,4367.51,4381.61,4318.20
11/29/2024,4334.39,4308.50,4340.75,4308.30
11/27/2024,4335.03,4320.94,4338.15,4313.50
11/26/2024,4313.89,4313.89,4350.19,4313.42
11/25/2024,4370.77,4370.77,4380.29,4356.46
11/22/2024,4347.37,4337.18,4357.13,4294.60
11/21/2024,4318.50,4318.50,4325.28,4289.01
11/20/2024,4317.46,4317.46,4371.41,4317.46
11/19/2024,4326.55,4326.55,4409.35,4315.13
11/18/2024,4385.19,4385.19,4415.20,4366.51
11/15/2024,4405.57,4413.77,4425.63,4384.56
11/14/2024,4418.80,4418.80,4426.65,4381.17
11/13/2024,4378.64,4378.64,4395.37,4359.07
11/12/2024,4374.27,4374.27,4445.32,4370.37
11/11/2024,4475.09,4475.09,4501.26,4471.96
11/08/2024,4449.58,4459.39,4485.58,4442.72
11/07/2024,4482.99,4482.99,4506.86,4463.85
11/06/2024,4446.96,4446.96,4536.03,4438.36
11/05/2024,4499.77,4499.77,4505.02,4482.37
11/04/2024,4491.47,4491.47,4522.14,4487.94
11/01/2024,4507.53,4497.04,4524.43,4476.09
10/31/2024,4473.18,4473.18,4503.95,4470.85
10/30/2024,4525.04,4525.04,4608.14,4524.35
10/29/2024,4592.56,4592.56,4650.36,4591.97
10/28/2024,4636.94,4636.94,4647.35,4599.31
10/25/2024,4597.14,4575.68,4599.10,4570.63
10/24/2024,4579.29,4579.29,4640.22,4579.29
10/23/2024,4603.85,4603.85,4632.23,4594.73
10/22/2024,4618.72,4618.72,4654.10,4599.71
10/21/2024,4644.25,4644.25,4679.67,4643.67
10/18/2024,4667.48,4644.81,4668.83,4603.43
10/17/2024,4615.00,4615.00,4620.19,4575.65
10/16/2024,4585.85,4585.85,4619.05,4574.89
10/15/2024,4607.99,4607.99,4664.97,4603.41
