Date,Close/Last,Volume,Open,High,Low
12/16/2024,51.66,64572,51.68,51.80,51.45
12/13/2024,51.52,36406,51.86,51.8799,51.26
12/12/2024,51.33,57095,51.51,51.55,51.33
12/11/2024,51.79,107129,51.64,51.89,51.48
12/10/2024,51.18,46920,51.79,51.79,51.1023
12/09/2024,51.80,66790,52.25,52.25,51.75
12/06/2024,52.36,43706,52.45,52.5899,52.31
12/05/2024,52.31,50143,52.62,52.62,52.2875
12/04/2024,52.65,69672,52.37,52.6893,52.25
12/03/2024,52.10,76696,52.10,52.1315,51.8801
12/02/2024,52.14,79140,52.11,52.21,52.0101
11/29/2024,52.08,109190,51.97,52.2589,51.97
11/27/2024,51.73,67639,51.94,51.94,51.45
11/26/2024,52.00,36133,52.13,52.13,51.80
11/25/2024,51.94,53161,52.19,52.24,51.84
11/22/2024,51.89,64198,51.87,51.94,51.69
11/21/2024,51.87,72028,51.71,52.0383,51.12
11/20/2024,51.22,86818,51.25,51.25,50.675
11/19/2024,51.25,55306,50.72,51.2751,50.6297
11/18/2024,50.93,155963,50.73,51.10,50.5667
11/15/2024,50.85,178917,51.34,51.34,50.64
11/14/2024,51.67,58204,52.11,52.11,51.615
11/13/2024,51.99,46956,52.26,52.27,51.965
11/12/2024,52.14,91722,52.27,52.36,51.8836
11/11/2024,52.25,68913,52.48,52.48,52.11
11/08/2024,52.27,1077432,52.23,52.3893,52.12
11/07/2024,52.13,66389,52.00,52.19,51.91
11/06/2024,51.77,111188,51.57,51.83,51.203
11/05/2024,50.35,54011,49.76,50.35,49.64
11/04/2024,49.64,88305,49.66,49.90,49.5257
11/01/2024,49.52,42519,49.48,49.86,49.42
10/31/2024,49.19,51687,49.96,49.96,49.17
10/30/2024,50.20,36513,50.17,50.47,50.0799
10/29/2024,50.42,51586,50.16,50.60,50.16
10/28/2024,50.33,53224,50.40,50.4659,50.2501
10/25/2024,50.17,65118,50.53,50.7279,50.10
10/24/2024,50.20,43789,50.33,50.33,50.06
10/23/2024,50.15,47674,50.34,50.42,49.80
10/22/2024,50.60,74196,50.61,50.71,50.42
10/21/2024,50.90,43470,50.76,50.9999,50.54
10/18/2024,50.86,34874,50.91,50.95,50.755
10/17/2024,50.81,117940,51.17,51.17,50.76
10/16/2024,50.66,41591,50.43,50.73,50.30
10/15/2024,50.23,41535,51.00,51.00,50.12
10/14/2024,50.98,34995,50.62,51.04,50.5871
10/11/2024,50.35,32692,49.95,50.44,49.95
10/10/2024,49.99,105139,49.82,50.13,49.80
10/09/2024,50.08,32732,49.70,50.08,49.60
10/08/2024,49.62,57787,49.18,49.74,49.1564
10/07/2024,48.99,56831,49.00,49.1926,48.85
10/04/2024,49.14,30816,49.11,49.14,48.70
10/03/2024,48.68,38947,48.52,48.8736,48.47
10/02/2024,48.59,35740,48.25,48.74,48.25
10/01/2024,48.47,54033,49.14,49.14,48.2203
09/30/2024,49.08,87649,48.81,49.125,48.60
09/27/2024,49.03,67266,49.45,49.45,48.9405
09/26/2024,49.35,41574,49.53,49.535,48.9932
09/25/2024,48.87,39716,48.95,49.066,48.7503
09/24/2024,49.055,43889,48.77,49.055,48.565
09/23/2024,48.74,53108,48.74,48.76,48.55
09/20/2024,48.51,39029,48.61,48.65,48.2688
09/19/2024,48.82,32884,48.85,49.01,48.62
09/18/2024,47.84,75931,48.25,48.607,47.82
09/17/2024,48.16,47754,48.46,48.51,47.985
09/16/2024,48.205,123280,48.15,48.29,47.935
09/13/2024,48.20,36270,47.96,48.2699,47.96
09/12/2024,47.85,44414,47.46,47.98,47.34
09/11/2024,47.45,41026,46.66,47.53,45.8257
09/10/2024,46.62,100115,46.53,46.65,45.995
09/09/2024,46.32,46377,46.01,46.42,45.905
09/06/2024,45.60,56662,46.43,46.515,45.40
09/05/2024,46.44,141109,46.47,46.76,46.13
09/04/2024,46.59,46685,46.49,47.0066,46.45
09/03/2024,46.76,56115,47.87,47.87,46.6188
08/30/2024,48.34,42975,48.15,48.35,47.6746
08/29/2024,47.68,36770,48.00,48.30,47.68
08/28/2024,48.12,63628,48.39,48.429,47.7701
08/27/2024,48.42,34687,47.99,48.52,47.99
08/26/2024,48.19,81313,48.68,48.75,48.09
08/23/2024,48.56,42877,48.20,48.6094,48.11
08/22/2024,47.78,43749,48.53,48.58,47.6745
08/21/2024,48.36,39653,48.21,48.46,48.07
08/20/2024,47.98,48827,48.18,48.22,47.86
08/19/2024,48.30,76543,47.54,48.30,47.50
08/16/2024,47.5558,24632,47.23,47.5999,47.23
08/15/2024,47.42,51102,46.96,47.49,46.93
08/14/2024,46.43,58662,46.44,46.552,46.00
08/13/2024,46.18,480999,45.57,46.19,45.49
08/12/2024,45.15,42600,45.19,45.3752,44.96
08/09/2024,45.02,46342,44.93,45.176,44.775
08/08/2024,44.98,39695,44.16,44.98,44.04
08/07/2024,43.59,48190,45.0423,45.1054,43.53
08/06/2024,44.29,57555,44.09,45.0099,43.88
08/05/2024,43.70,74500,42.97,44.28,42.90
08/02/2024,44.97,59204,45.01,45.12,44.45
08/01/2024,45.93,48668,47.06,47.34,45.56
07/31/2024,47.21,46237,46.82,47.445,46.71
07/30/2024,45.71,42245,46.41,46.41,45.4851
07/29/2024,46.28,57798,46.52,46.54,46.18
07/26/2024,46.34,30716,46.27,46.6098,46.1691
07/25/2024,45.69,45223,45.86,46.61,45.46
07/24/2024,45.93,52485,46.82,46.94,45.87
07/23/2024,47.30,38532,47.39,47.5754,47.28
07/22/2024,47.47,50030,47.01,47.49,46.885
07/19/2024,46.60,27355,47.11,47.15,46.5821
07/18/2024,47.20,26464,47.63,47.77,46.97
07/17/2024,47.33,52680,47.83,47.90,47.29
07/16/2024,48.53,81483,48.30,48.53,48.182
07/15/2024,48.15,140789,48.32,48.48,48.03
07/12/2024,48.15,47007,47.79,48.5229,47.79
07/11/2024,47.63,117045,48.13,48.1996,47.59
